text,cluster_id,axis_1,axis_2,axis_3,axis_4,axis_5
protein folding detection,4,0.30580634,-0.114253365,0.5245624,-0.18327844,-0.0125079015
protein folding classification,4,0.35515693,-0.1866242,0.55487347,-0.19295907,0.025149068
protein folding inference,4,0.3831938,-0.16222173,0.50913775,-0.17061184,-0.007683705
protein folding workflow,4,0.31391504,-0.07673604,0.56966525,-0.14104669,-0.06516805
protein folding pipeline,4,0.3011687,-0.06791697,0.51768976,-0.07710803,-0.14600126
protein folding system,4,0.33355245,-0.100976355,0.65487546,-0.27308598,-0.065463975
protein folding framework,4,0.24294557,-0.13217153,0.63082474,-0.21313539,-0.08127579
protein folding dataset,4,0.33593702,0.015630415,0.5414675,-0.0724373,-0.100046076
protein folding study,4,0.3984274,-0.12498718,0.5951824,-0.17316565,-0.016776798
protein folding platform,4,0.2846571,-0.0951155,0.5809987,-0.15868999,-0.19474241
protein folding experiment,4,0.35902882,-0.037108663,0.5569166,-0.1394679,-0.0071117533
protein folding architecture,4,0.30760908,-0.14727125,0.6535612,-0.20139639,-0.15700248
protein folding application,4,0.3504488,-0.15156808,0.62414545,-0.16259006,-0.07386358
biology protein folding,4,0.35757598,-0.10848185,0.7382409,-0.19126537,-0.07730889
cancer immunotherapy benchmark,3,-0.5143044,0.05855404,0.10417005,0.1279365,0.11013239
cancer immunotherapy simulation,3,-0.51720357,-0.041046325,0.19140412,0.024817917,0.105685
cancer immunotherapy analysis,3,-0.53795725,-0.07818974,0.08451939,0.09762594,0.22690052
cancer immunotherapy prediction,3,-0.50829065,-0.11235509,0.10431295,0.12026329,0.17250355
cancer immunotherapy forecasting,3,-0.5030207,-0.08089059,0.0941375,0.049241714,0.118979245
cancer immunotherapy optimization,3,-0.5063479,-0.064949825,0.13457629,0.14188755,0.18080342
cancer immunotherapy modeling,3,-0.5421675,-0.108185,0.15508546,0.056945797,0.103935696
cancer immunotherapy detection,3,-0.5272031,-0.07168729,0.034886558,0.104031324,0.19897696
cancer immunotherapy classification,3,-0.53610367,-0.1271451,0.08277307,0.08527942,0.19790795
cancer immunotherapy inference,3,-0.55875176,-0.083357476,0.06856414,0.09909867,0.20162185
cancer immunotherapy workflow,3,-0.52858526,-0.0068523986,0.07337479,0.09676443,0.12787841
cancer immunotherapy pipeline,3,-0.59823257,-0.0026150085,0.07625032,0.14316757,0.07713358
cancer immunotherapy system,3,-0.58878773,-0.0036203875,0.046373047,0.026569508,0.13859445
cancer immunotherapy framework,3,-0.6106124,-0.028891994,0.12435606,0.023018334,0.16784501
cancer immunotherapy dataset,3,-0.42343935,0.048859183,0.052116033,0.15580158,0.07149898
cancer immunotherapy study,3,-0.574805,0.003946359,0.12208521,0.13246717,0.23920399
cancer immunotherapy platform,3,-0.5672784,-0.032361366,0.039753273,0.0632427,0.053393092
cancer immunotherapy experiment,3,-0.5205955,0.021813048,0.08255929,0.101550065,0.20219576
cancer immunotherapy architecture,3,-0.5758189,-0.06791033,0.1332664,0.0039759334,0.047743514
cancer immunotherapy application,3,-0.5806363,-0.04987755,0.072876826,0.12611488,0.15407723
biology cancer immunotherapy,3,-0.5615831,-0.028827697,0.10618589,0.062557615,0.21579784
genomic mutation benchmark,0,0.2936012,0.28156686,0.10588909,0.47908467,0.11502539
genomic mutation simulation,0,0.27289277,0.22359344,0.20760092,0.42350906,0.09159839
genomic mutation analysis,0,0.37726045,0.18932566,0.06028639,0.46980262,0.23500048
genomic mutation prediction,0,0.3396615,0.13359618,0.11467656,0.40351072,0.13801722
genomic mutation forecasting,0,0.3165253,0.16328785,0.1103559,0.35295373,0.10175708
genomic mutation optimization,0,0.31745687,0.16570738,0.13734503,0.44285375,0.09632941
genomic mutation modeling,0,0.30694535,0.11406102,0.12510583,0.42351744,0.09833305
genomic mutation detection,0,0.32173866,0.20893522,0.08603753,0.46368963,0.22789344
genomic mutation classification,0,0.33543146,0.13340688,0.10935747,0.4372772,0.23871306
genomic mutation inference,0,0.3165857,0.15819836,0.06330965,0.44874516,0.16710564
genomic mutation workflow,0,0.2702163,0.24707733,0.111813016,0.49666306,0.08487428
genomic mutation pipeline,0,0.22311091,0.21724106,0.04550834,0.48847142,0.01877211
genomic mutation system,0,0.29045665,0.25780934,0.120209,0.45026514,0.11391411
genomic mutation framework,0,0.2648005,0.20182903,0.11547979,0.45101377,0.11824756
genomic mutation dataset,0,0.24072064,0.26968724,0.10975271,0.4761166,0.04731198
genomic mutation study,0,0.35988548,0.23152255,0.04111232,0.49762174,0.16739528
genomic mutation platform,0,0.22149676,0.22707076,0.05925833,0.47182852,-0.024497826
genomic mutation experiment,0,0.31295535,0.29243726,0.055221308,0.4720327,0.12324607
genomic mutation architecture,0,0.27310276,0.17708127,0.17126682,0.41223708,-0.006091065
genomic mutation application,0,0.31080535,0.18658376,0.044623204,0.4889839,0.1471911
biology genomic mutation,0,0.31148306,0.24302569,0.14511028,0.47271028,0.1359894
cell signaling benchmark,2,-0.12024842,-0.03675993,-0.09912617,-0.30304015,-0.11906109
cell signaling simulation,2,-0.11400603,-0.12840797,0.016517282,-0.37123424,-0.111317396
cell signaling analysis,2,-0.06816052,-0.17836274,-0.1883195,-0.41699255,-0.007583015
cell signaling prediction,2,-0.018830199,-0.1896932,-0.11725426,-0.36067393,-0.04126057
cell signaling forecasting,2,-0.06817475,-0.11656527,-0.1417682,-0.38166305,-0.08007436
cell signaling optimization,2,-0.05119966,-0.15485634,-0.096417196,-0.33748809,-0.053977426
cell signaling modeling,2,-0.11968715,-0.20514005,-0.092429504,-0.3901461,-0.12395966
cell signaling detection,2,-0.12781101,-0.1325239,-0.15688941,-0.3567937,-0.02537446
cell signaling classification,2,-0.05013842,-0.2097138,-0.1276166,-0.38859528,0.00021227995
cell signaling inference,2,-0.05020914,-0.17148665,-0.18585996,-0.38646337,-0.05128861
cell signaling workflow,2,-0.14778022,-0.115408905,-0.08709698,-0.33996344,-0.093646854
cell signaling pipeline,2,-0.14451592,-0.07042353,-0.16776241,-0.3136791,-0.15347584
cell signaling system,2,-0.11412462,-0.13414787,-0.11787355,-0.46396816,-4.4406082e-05
cell signaling framework,2,-0.16689904,-0.14469115,-0.06727418,-0.37861842,-0.06946167
cell signaling dataset,2,-0.06165094,-0.0010953251,-0.1699486,-0.26405933,-0.098378204
cell signaling study,2,-0.062917516,-0.13543293,-0.15829949,-0.4214846,-0.035134923
cell signaling platform,2,-0.15172656,-0.14128791,-0.12805955,-0.3797469,-0.13401002
cell signaling experiment,2,-0.08660861,-0.06603919,-0.13784602,-0.31854618,-0.044709004
cell signaling architecture,2,-0.10446884,-0.1649787,-0.037734583,-0.40119776,-0.1674648
cell signaling application,2,-0.14886472,-0.15148497,-0.1289079,-0.3583027,-0.085620314
biology cell signaling,2,-0.04990097,-0.21670602,-0.11388233,-0.41976565,-0.04292936
drug target benchmark,1,-0.12568985,-0.3211899,-0.13467559,0.33001107,-0.33168283
drug target simulation,1,-0.107854344,-0.40159097,-0.021501599,0.2138041,-0.3697152
drug target analysis,1,-0.03869322,-0.46380988,-0.23036821,0.29646158,-0.2986039
drug target prediction,1,-0.0333413,-0.43345264,-0.11716955,0.22583686,-0.28235987
drug target forecasting,1,-0.086689845,-0.38419235,-0.12309548,0.15952653,-0.28077668
drug target optimization,1,-0.059815045,-0.41927865,-0.12688702,0.29516262,-0.34172663
drug target modeling,1,-0.06583037,-0.49414432,-0.12896371,0.24732372,-0.36490798
drug target detection,1,-0.07081171,-0.43943518,-0.15602233,0.27416012,-0.32292646
drug target classification,1,-0.05846997,-0.5102837,-0.13351408,0.26926464,-0.27909765
drug target inference,1,-0.049641933,-0.44253898,-0.20399232,0.24613777,-0.30265963
drug target workflow,1,-0.16550319,-0.3681749,-0.1383169,0.29739892,-0.34689704
drug target pipeline,1,-0.13820714,-0.32885623,-0.15937488,0.3140315,-0.40159798
drug target system,1,-0.15386564,-0.45168328,-0.22444907,0.2886756,-0.37693903
drug target framework,1,-0.14467661,-0.4618229,-0.1023812,0.2638708,-0.378046
drug target dataset,1,-0.09792687,-0.27659193,-0.15089847,0.35273838,-0.34178853
drug target study,1,-0.11046195,-0.4401647,-0.2410763,0.37232423,-0.31698278
drug target platform,1,-0.14385407,-0.39662266,-0.14218836,0.27219114,-0.4388559
drug target experiment,1,-0.07985431,-0.3605237,-0.16675569,0.34092793,-0.33626455
drug target architecture,1,-0.081114136,-0.42947492,-0.059109103,0.21948372,-0.43989006
drug target application,1,-0.1437086,-0.4654299,-0.1656403,0.34141937,-0.4073275
biology drug target,1,-0.06818172,-0.41109788,-0.13749543,0.23831318,-0.3464671
immune checkpoint benchmark,3,-0.53528315,0.15835059,0.13482757,0.049340542,0.1837977
immune checkpoint simulation,3,-0.5415275,0.11829291,0.1631071,-0.031789344,0.18126956
immune checkpoint analysis,3,-0.5862728,0.11495113,0.06848501,-0.011218406,0.21499646
immune checkpoint prediction,3,-0.50758,0.04264957,0.09979567,-0.043115444,0.19723661
immune checkpoint forecasting,3,-0.5226157,0.07136782,0.087181404,-0.059826594,0.17216483
immune checkpoint optimization,3,-0.5839775,0.11637609,0.15177794,0.002049813,0.20260169
immune checkpoint modeling,3,-0.5772528,0.07581971,0.11387893,-0.043636683,0.16397208
immune checkpoint detection,3,-0.559367,0.086320505,0.064983,-0.018983085,0.2504837
immune checkpoint classification,3,-0.52831095,0.051639017,0.10432467,-0.0435731,0.2191979
immune checkpoint inference,3,-0.53046966,0.10410527,0.070586815,-0.033807777,0.21647766
immune checkpoint workflow,3,-0.59453887,0.10641575,0.11771054,0.017821955,0.1683199
immune checkpoint pipeline,3,-0.5537411,0.115294576,0.034930356,0.020951837,0.09639327
immune checkpoint system,3,-0.5692207,0.1029436,0.07673988,-0.06725104,0.2118655
immune checkpoint framework,3,-0.58747745,0.09615631,0.12555291,-0.030940454,0.18498954
immune checkpoint dataset,3,-0.46535942,0.17131217,0.06662145,0.05487281,0.13415267
immune checkpoint study,3,-0.60366696,0.123427734,0.0752867,0.023109805,0.2051927
immune checkpoint platform,3,-0.54798865,0.09252042,0.05938103,0.017785378,0.119484656
immune checkpoint experiment,3,-0.52290255,0.15177913,0.06310394,0.01774105,0.18637057
immune checkpoint architecture,3,-0.5477003,0.09573579,0.1319387,-0.08503652,0.102189116
immune checkpoint application,3,-0.5889034,0.071165785,0.05803042,0.029026045,0.18555672
biology immune checkpoint,3,-0.57142115,0.1133175,0.1148425,-0.03228082,0.19624837
transcriptomic profiling benchmark,2,0.31981727,0.12644613,-0.24179658,-0.015301114,0.13622391
transcriptomic profiling simulation,2,0.3035012,0.03818023,-0.1820547,-0.06278288,0.13495106
transcriptomic profiling analysis,2,0.37416744,-1.995668e-05,-0.32263383,-0.053891815,0.26989394
transcriptomic profiling prediction,2,0.36165467,-0.04119262,-0.27254608,-0.06518152,0.17812546
transcriptomic profiling forecasting,2,0.3098687,0.02638467,-0.22198567,-0.14288138,0.10376359
transcriptomic profiling optimization,2,0.37750384,0.021989862,-0.21822427,0.028426671,0.1752601
transcriptomic profiling modeling,2,0.32504237,-0.039029513,-0.29364222,-0.059745654,0.14356324
transcriptomic profiling detection,2,0.31823054,0.0229341,-0.30781037,-0.012814827,0.23060578
transcriptomic profiling classification,2,0.32729712,-0.06532571,-0.29540855,-0.06313815,0.2564625
transcriptomic profiling inference,2,0.3519473,0.007853583,-0.34672555,-0.053886726,0.19080283
transcriptomic profiling workflow,2,0.31251052,0.05242604,-0.3060485,-0.0027307651,0.1343928
transcriptomic profiling pipeline,2,0.30243233,0.04731424,-0.34379345,0.008644086,0.10768937
transcriptomic profiling system,2,0.32044035,0.07247921,-0.33805004,-0.050260942,0.18638857
transcriptomic profiling framework,2,0.29907474,0.03134915,-0.32859033,-0.07097742,0.17719485
transcriptomic profiling dataset,2,0.2754386,0.15197527,-0.25996888,0.014066512,0.097612895
transcriptomic profiling study,2,0.39489478,0.072488636,-0.29718336,-0.044255015,0.27754498
transcriptomic profiling platform,2,0.2672375,0.06724801,-0.32943764,-0.0024847402,0.106628224
transcriptomic profiling experiment,2,0.36965424,0.09190583,-0.2965382,-0.035010345,0.23132226
transcriptomic profiling architecture,2,0.29048383,0.014506765,-0.2869372,-0.055409957,0.08815767
transcriptomic profiling application,2,0.3498604,0.027680466,-0.3474221,-0.036767423,0.23641092
biology transcriptomic profiling,2,0.3995755,0.038344916,-0.33141822,-0.13648425,0.19246869
pathway analysis benchmark,1,0.1486973,-0.19882287,-0.0919355,0.07127388,-0.07023505
pathway analysis simulation,1,0.08115189,-0.25120914,-0.02026034,-0.014917309,-0.06723255
pathway analysis analysis,1,0.1336211,-0.29711425,-0.16342188,-0.002868115,-0.0045286072
pathway analysis prediction,1,0.17241503,-0.33516985,-0.11278982,-0.005827904,-0.05942175
pathway analysis forecasting,1,0.10433571,-0.28592578,-0.08663061,-0.05751689,-0.07411393
pathway analysis optimization,1,0.17501162,-0.26914436,-0.03117111,0.05842711,-0.052669052
pathway analysis modeling,1,0.079848066,-0.33091173,-0.1114435,0.002769519,-0.07544675
pathway analysis detection,1,0.14287001,-0.3154911,-0.15159547,-0.003178221,0.019113375
pathway analysis classification,1,0.12805283,-0.377043,-0.124912694,-0.023665272,0.026874436
pathway analysis inference,1,0.12550044,-0.26897776,-0.13104211,-0.017554106,-0.02387903
pathway analysis workflow,1,0.1374429,-0.23188359,-0.104038954,0.034861505,-0.033941846
