trace_id,prompt_id,task_family,outcome,temperature_tag,transition,from_cluster,to_cluster,transition_path
trace_00026,arith_002,arithmetic,correct,0p8,middle_to_late,2,3,2->3
trace_00027,arith_002,arithmetic,correct,0p8,middle_to_late,2,4,2->4
trace_00028,arith_002,arithmetic,correct,0p8,middle_to_late,2,3,2->3
trace_00030,arith_002,arithmetic,correct,0p8,middle_to_late,2,3,2->3
trace_00031,arith_003,arithmetic,correct,0p2,early_to_middle,2,3,2->3
trace_00031,arith_003,arithmetic,correct,0p2,middle_to_late,3,4,3->4
trace_00032,arith_003,arithmetic,correct,0p2,early_to_middle,2,0,2->0
trace_00032,arith_003,arithmetic,correct,0p2,middle_to_late,0,3,0->3
trace_00033,arith_003,arithmetic,correct,0p2,early_to_middle,2,3,2->3
trace_00033,arith_003,arithmetic,correct,0p2,middle_to_late,3,3,3->3
trace_00034,arith_003,arithmetic,correct,0p2,early_to_middle,2,3,2->3
trace_00034,arith_003,arithmetic,correct,0p2,middle_to_late,3,3,3->3
trace_00035,arith_003,arithmetic,correct,0p2,early_to_middle,2,3,2->3
trace_00035,arith_003,arithmetic,correct,0p2,middle_to_late,3,3,3->3
trace_00036,arith_003,arithmetic,incorrect,0p5,early_to_middle,2,3,2->3
trace_00036,arith_003,arithmetic,incorrect,0p5,middle_to_late,3,4,3->4
trace_00037,arith_003,arithmetic,correct,0p5,middle_to_late,2,3,2->3
trace_00038,arith_003,arithmetic,correct,0p5,early_to_middle,2,3,2->3
trace_00038,arith_003,arithmetic,correct,0p5,middle_to_late,3,4,3->4
trace_00039,arith_003,arithmetic,correct,0p5,middle_to_late,2,3,2->3
trace_00040,arith_003,arithmetic,correct,0p5,early_to_middle,2,3,2->3
trace_00040,arith_003,arithmetic,correct,0p5,middle_to_late,3,4,3->4
trace_00041,arith_003,arithmetic,correct,0p8,middle_to_late,2,3,2->3
trace_00042,arith_003,arithmetic,correct,0p8,early_to_middle,2,0,2->0
trace_00042,arith_003,arithmetic,correct,0p8,middle_to_late,0,3,0->3
trace_00044,arith_003,arithmetic,correct,0p8,early_to_middle,2,0,2->0
trace_00044,arith_003,arithmetic,correct,0p8,middle_to_late,0,1,0->1
trace_00045,arith_003,arithmetic,correct,0p8,early_to_middle,2,4,2->4
trace_00045,arith_003,arithmetic,correct,0p8,middle_to_late,4,4,4->4
trace_00046,arith_004,arithmetic,incorrect,0p2,early_to_middle,0,4,0->4
trace_00046,arith_004,arithmetic,incorrect,0p2,middle_to_late,4,3,4->3
trace_00047,arith_004,arithmetic,incorrect,0p2,middle_to_late,0,4,0->4
trace_00048,arith_004,arithmetic,incorrect,0p2,middle_to_late,0,4,0->4
trace_00049,arith_004,arithmetic,correct,0p2,early_to_middle,0,4,0->4
trace_00049,arith_004,arithmetic,correct,0p2,middle_to_late,4,0,4->0
trace_00050,arith_004,arithmetic,correct,0p2,early_to_middle,0,0,0->0
trace_00050,arith_004,arithmetic,correct,0p2,middle_to_late,0,4,0->4
trace_00051,arith_004,arithmetic,incorrect,0p5,middle_to_late,0,4,0->4
trace_00052,arith_004,arithmetic,incorrect,0p5,early_to_middle,0,3,0->3
trace_00052,arith_004,arithmetic,incorrect,0p5,middle_to_late,3,0,3->0
trace_00053,arith_004,arithmetic,correct,0p5,early_to_middle,0,4,0->4
trace_00053,arith_004,arithmetic,correct,0p5,middle_to_late,4,0,4->0
trace_00054,arith_004,arithmetic,correct,0p5,early_to_middle,1,4,1->4
trace_00054,arith_004,arithmetic,correct,0p5,middle_to_late,4,0,4->0
trace_00055,arith_004,arithmetic,incorrect,0p5,middle_to_late,0,4,0->4
trace_00056,arith_004,arithmetic,correct,0p8,early_to_middle,0,1,0->1
trace_00056,arith_004,arithmetic,correct,0p8,middle_to_late,1,4,1->4
trace_00057,arith_004,arithmetic,incorrect,0p8,early_to_middle,0,3,0->3
trace_00057,arith_004,arithmetic,incorrect,0p8,middle_to_late,3,0,3->0
trace_00058,arith_004,arithmetic,incorrect,0p8,early_to_middle,0,3,0->3
trace_00058,arith_004,arithmetic,incorrect,0p8,middle_to_late,3,0,3->0
trace_00059,arith_004,arithmetic,incorrect,0p8,early_to_middle,0,1,0->1
trace_00059,arith_004,arithmetic,incorrect,0p8,middle_to_late,1,3,1->3
trace_00060,arith_004,arithmetic,correct,0p8,early_to_middle,0,0,0->0
trace_00060,arith_004,arithmetic,correct,0p8,middle_to_late,0,4,0->4
trace_00061,logic_001,symbolic_logic,incorrect,0p2,early_to_middle,1,0,1->0
trace_00061,logic_001,symbolic_logic,incorrect,0p2,middle_to_late,0,3,0->3
trace_00062,logic_001,symbolic_logic,correct,0p2,early_to_middle,1,0,1->0
trace_00062,logic_001,symbolic_logic,correct,0p2,middle_to_late,0,3,0->3
trace_00063,logic_001,symbolic_logic,correct,0p2,early_to_middle,1,0,1->0
trace_00063,logic_001,symbolic_logic,correct,0p2,middle_to_late,0,3,0->3
trace_00064,logic_001,symbolic_logic,incorrect,0p2,early_to_middle,1,0,1->0
trace_00064,logic_001,symbolic_logic,incorrect,0p2,middle_to_late,0,3,0->3
trace_00065,logic_001,symbolic_logic,incorrect,0p2,early_to_middle,1,0,1->0
trace_00065,logic_001,symbolic_logic,incorrect,0p2,middle_to_late,0,0,0->0
trace_00066,logic_001,symbolic_logic,correct,0p5,early_to_middle,1,0,1->0
trace_00066,logic_001,symbolic_logic,correct,0p5,middle_to_late,0,3,0->3
trace_00067,logic_001,symbolic_logic,correct,0p5,middle_to_late,1,0,1->0
trace_00068,logic_001,symbolic_logic,correct,0p5,early_to_middle,1,3,1->3
trace_00068,logic_001,symbolic_logic,correct,0p5,middle_to_late,3,1,3->1
trace_00069,logic_001,symbolic_logic,correct,0p5,early_to_middle,1,3,1->3
trace_00069,logic_001,symbolic_logic,correct,0p5,middle_to_late,3,1,3->1
trace_00070,logic_001,symbolic_logic,incorrect,0p5,early_to_middle,1,0,1->0
trace_00070,logic_001,symbolic_logic,incorrect,0p5,middle_to_late,0,3,0->3
trace_00071,logic_001,symbolic_logic,correct,0p8,middle_to_late,1,0,1->0
trace_00072,logic_001,symbolic_logic,correct,0p8,early_to_middle,3,3,3->3
trace_00072,logic_001,symbolic_logic,correct,0p8,middle_to_late,3,3,3->3
trace_00073,logic_001,symbolic_logic,incorrect,0p8,early_to_middle,1,3,1->3
trace_00073,logic_001,symbolic_logic,incorrect,0p8,middle_to_late,3,1,3->1
trace_00074,logic_001,symbolic_logic,incorrect,0p8,early_to_middle,1,0,1->0
trace_00074,logic_001,symbolic_logic,incorrect,0p8,middle_to_late,0,1,0->1
trace_00075,logic_001,symbolic_logic,incorrect,0p8,middle_to_late,1,3,1->3
trace_00076,logic_002,symbolic_logic,correct,0p2,early_to_middle,3,0,3->0
trace_00076,logic_002,symbolic_logic,correct,0p2,middle_to_late,0,1,0->1
trace_00077,logic_002,symbolic_logic,incorrect,0p2,middle_to_late,3,0,3->0
trace_00078,logic_002,symbolic_logic,correct,0p2,middle_to_late,3,0,3->0
trace_00079,logic_002,symbolic_logic,correct,0p2,early_to_middle,3,0,3->0
trace_00079,logic_002,symbolic_logic,correct,0p2,middle_to_late,0,0,0->0
trace_00080,logic_002,symbolic_logic,correct,0p2,early_to_middle,0,3,0->3
trace_00080,logic_002,symbolic_logic,correct,0p2,middle_to_late,3,1,3->1
trace_00081,logic_002,symbolic_logic,incorrect,0p5,middle_to_late,0,3,0->3
trace_00082,logic_002,symbolic_logic,correct,0p5,middle_to_late,3,0,3->0
trace_00083,logic_002,symbolic_logic,incorrect,0p5,middle_to_late,3,0,3->0
trace_00084,logic_002,symbolic_logic,incorrect,0p5,early_to_middle,3,0,3->0
trace_00084,logic_002,symbolic_logic,incorrect,0p5,middle_to_late,0,1,0->1
trace_00085,logic_002,symbolic_logic,incorrect,0p5,early_to_middle,3,0,3->0
trace_00085,logic_002,symbolic_logic,incorrect,0p5,middle_to_late,0,3,0->3
trace_00086,logic_002,symbolic_logic,incorrect,0p8,middle_to_late,3,0,3->0
trace_00087,logic_002,symbolic_logic,incorrect,0p8,early_to_middle,3,0,3->0
trace_00087,logic_002,symbolic_logic,incorrect,0p8,middle_to_late,0,1,0->1
trace_00088,logic_002,symbolic_logic,incorrect,0p8,early_to_middle,3,0,3->0
trace_00088,logic_002,symbolic_logic,incorrect,0p8,middle_to_late,0,3,0->3
trace_00089,logic_002,symbolic_logic,correct,0p8,middle_to_late,3,0,3->0
trace_00090,logic_002,symbolic_logic,incorrect,0p8,early_to_middle,3,1,3->1
trace_00090,logic_002,symbolic_logic,incorrect,0p8,middle_to_late,1,0,1->0
trace_00091,logic_003,symbolic_logic,correct,0p2,early_to_middle,3,0,3->0
trace_00091,logic_003,symbolic_logic,correct,0p2,middle_to_late,0,3,0->3
trace_00092,logic_003,symbolic_logic,correct,0p2,early_to_middle,3,0,3->0
trace_00092,logic_003,symbolic_logic,correct,0p2,middle_to_late,0,3,0->3
trace_00093,logic_003,symbolic_logic,incorrect,0p2,middle_to_late,3,0,3->0
trace_00094,logic_003,symbolic_logic,incorrect,0p2,middle_to_late,3,0,3->0
trace_00095,logic_003,symbolic_logic,incorrect,0p2,early_to_middle,3,0,3->0
trace_00095,logic_003,symbolic_logic,incorrect,0p2,middle_to_late,0,3,0->3
trace_00096,logic_003,symbolic_logic,incorrect,0p5,middle_to_late,3,0,3->0
trace_00097,logic_003,symbolic_logic,incorrect,0p5,early_to_middle,3,0,3->0
trace_00097,logic_003,symbolic_logic,incorrect,0p5,middle_to_late,0,0,0->0
trace_00098,logic_003,symbolic_logic,incorrect,0p5,early_to_middle,3,0,3->0
trace_00098,logic_003,symbolic_logic,incorrect,0p5,middle_to_late,0,3,0->3
trace_00099,logic_003,symbolic_logic,correct,0p5,early_to_middle,4,3,4->3
trace_00099,logic_003,symbolic_logic,correct,0p5,middle_to_late,3,3,3->3
trace_00100,logic_003,symbolic_logic,correct,0p5,early_to_middle,3,0,3->0
trace_00100,logic_003,symbolic_logic,correct,0p5,middle_to_late,0,1,0->1
trace_00101,logic_003,symbolic_logic,incorrect,0p8,middle_to_late,3,0,3->0
trace_00102,logic_003,symbolic_logic,correct,0p8,early_to_middle,3,0,3->0
trace_00102,logic_003,symbolic_logic,correct,0p8,middle_to_late,0,3,0->3
trace_00103,logic_003,symbolic_logic,incorrect,0p8,middle_to_late,3,0,3->0
trace_00104,logic_003,symbolic_logic,incorrect,0p8,early_to_middle,3,0,3->0
trace_00104,logic_003,symbolic_logic,incorrect,0p8,middle_to_late,0,3,0->3
trace_00105,logic_003,symbolic_logic,correct,0p8,early_to_middle,3,0,3->0
trace_00105,logic_003,symbolic_logic,correct,0p8,middle_to_late,0,3,0->3
trace_00106,logic_004,symbolic_logic,correct,0p2,early_to_middle,3,0,3->0
trace_00106,logic_004,symbolic_logic,correct,0p2,middle_to_late,0,0,0->0
trace_00107,logic_004,symbolic_logic,correct,0p2,early_to_middle,3,0,3->0
trace_00107,logic_004,symbolic_logic,correct,0p2,middle_to_late,0,0,0->0
trace_00108,logic_004,symbolic_logic,incorrect,0p2,middle_to_late,0,0,0->0
trace_00109,logic_004,symbolic_logic,incorrect,0p2,middle_to_late,3,0,3->0
trace_00110,logic_004,symbolic_logic,correct,0p2,early_to_middle,3,0,3->0
trace_00110,logic_004,symbolic_logic,correct,0p2,middle_to_late,0,0,0->0
trace_00111,logic_004,symbolic_logic,correct,0p5,early_to_middle,3,0,3->0
trace_00111,logic_004,symbolic_logic,correct,0p5,middle_to_late,0,0,0->0
trace_00112,logic_004,symbolic_logic,correct,0p5,middle_to_late,3,0,3->0
trace_00114,logic_004,symbolic_logic,correct,0p5,early_to_middle,3,0,3->0
trace_00114,logic_004,symbolic_logic,correct,0p5,middle_to_late,0,0,0->0
trace_00116,logic_004,symbolic_logic,correct,0p8,early_to_middle,3,0,3->0
trace_00116,logic_004,symbolic_logic,correct,0p8,middle_to_late,0,0,0->0
trace_00117,logic_004,symbolic_logic,incorrect,0p8,early_to_middle,0,0,0->0
trace_00117,logic_004,symbolic_logic,incorrect,0p8,middle_to_late,0,0,0->0
trace_00118,logic_004,symbolic_logic,correct,0p8,middle_to_late,0,0,0->0
trace_00119,logic_004,symbolic_logic,correct,0p8,early_to_middle,3,0,3->0
trace_00119,logic_004,symbolic_logic,correct,0p8,middle_to_late,0,0,0->0
trace_00120,logic_004,symbolic_logic,correct,0p8,middle_to_late,3,0,3->0
trace_00122,temporal_001,temporal_ordering,incorrect,0p2,early_to_middle,3,1,3->1
trace_00122,temporal_001,temporal_ordering,incorrect,0p2,middle_to_late,1,4,1->4
trace_00123,temporal_001,temporal_ordering,incorrect,0p2,middle_to_late,4,4,4->4
trace_00124,temporal_001,temporal_ordering,correct,0p2,middle_to_late,4,0,4->0
trace_00126,temporal_001,temporal_ordering,incorrect,0p5,early_to_middle,4,4,4->4
trace_00126,temporal_001,temporal_ordering,incorrect,0p5,middle_to_late,4,3,4->3
trace_00127,temporal_001,temporal_ordering,correct,0p5,early_to_middle,0,3,0->3
trace_00127,temporal_001,temporal_ordering,correct,0p5,middle_to_late,3,4,3->4
trace_00128,temporal_001,temporal_ordering,correct,0p5,early_to_middle,3,0,3->0
trace_00128,temporal_001,temporal_ordering,correct,0p5,middle_to_late,0,0,0->0
trace_00129,temporal_001,temporal_ordering,correct,0p5,early_to_middle,4,4,4->4
trace_00129,temporal_001,temporal_ordering,correct,0p5,middle_to_late,4,3,4->3
trace_00130,temporal_001,temporal_ordering,incorrect,0p5,early_to_middle,4,1,4->1
trace_00130,temporal_001,temporal_ordering,incorrect,0p5,middle_to_late,1,4,1->4
trace_00131,temporal_001,temporal_ordering,correct,0p8,early_to_middle,4,4,4->4
trace_00131,temporal_001,temporal_ordering,correct,0p8,middle_to_late,4,4,4->4
trace_00132,temporal_001,temporal_ordering,correct,0p8,early_to_middle,3,4,3->4
trace_00132,temporal_001,temporal_ordering,correct,0p8,middle_to_late,4,3,4->3
trace_00133,temporal_001,temporal_ordering,correct,0p8,middle_to_late,3,0,3->0
trace_00134,temporal_001,temporal_ordering,incorrect,0p8,early_to_middle,4,0,4->0
trace_00134,temporal_001,temporal_ordering,incorrect,0p8,middle_to_late,0,0,0->0
trace_00135,temporal_001,temporal_ordering,correct,0p8,early_to_middle,4,3,4->3
trace_00135,temporal_001,temporal_ordering,correct,0p8,middle_to_late,3,3,3->3
trace_00136,temporal_002,temporal_ordering,incorrect,0p2,early_to_middle,3,4,3->4
trace_00136,temporal_002,temporal_ordering,incorrect,0p2,middle_to_late,4,3,4->3
trace_00137,temporal_002,temporal_ordering,incorrect,0p2,early_to_middle,1,4,1->4
trace_00137,temporal_002,temporal_ordering,incorrect,0p2,middle_to_late,4,3,4->3
trace_00138,temporal_002,temporal_ordering,correct,0p2,early_to_middle,3,4,3->4
trace_00138,temporal_002,temporal_ordering,correct,0p2,middle_to_late,4,3,4->3
trace_00139,temporal_002,temporal_ordering,correct,0p2,early_to_middle,1,4,1->4
trace_00139,temporal_002,temporal_ordering,correct,0p2,middle_to_late,4,3,4->3
trace_00140,temporal_002,temporal_ordering,correct,0p2,early_to_middle,3,4,3->4
trace_00140,temporal_002,temporal_ordering,correct,0p2,middle_to_late,4,4,4->4
trace_00141,temporal_002,temporal_ordering,correct,0p5,early_to_middle,4,4,4->4
trace_00141,temporal_002,temporal_ordering,correct,0p5,middle_to_late,4,3,4->3
trace_00142,temporal_002,temporal_ordering,correct,0p5,early_to_middle,1,4,1->4
trace_00142,temporal_002,temporal_ordering,correct,0p5,middle_to_late,4,4,4->4
trace_00143,temporal_002,temporal_ordering,incorrect,0p5,early_to_middle,4,4,4->4
trace_00143,temporal_002,temporal_ordering,incorrect,0p5,middle_to_late,4,4,4->4
trace_00144,temporal_002,temporal_ordering,correct,0p5,early_to_middle,1,4,1->4
trace_00144,temporal_002,temporal_ordering,correct,0p5,middle_to_late,4,1,4->1
trace_00145,temporal_002,temporal_ordering,correct,0p5,middle_to_late,3,4,3->4
trace_00146,temporal_002,temporal_ordering,correct,0p8,middle_to_late,4,4,4->4
trace_00147,temporal_002,temporal_ordering,correct,0p8,early_to_middle,3,4,3->4
trace_00147,temporal_002,temporal_ordering,correct,0p8,middle_to_late,4,4,4->4
trace_00148,temporal_002,temporal_ordering,correct,0p8,middle_to_late,4,4,4->4
trace_00149,temporal_002,temporal_ordering,incorrect,0p8,early_to_middle,4,0,4->0
trace_00149,temporal_002,temporal_ordering,incorrect,0p8,middle_to_late,0,3,0->3
trace_00150,temporal_002,temporal_ordering,correct,0p8,middle_to_late,4,0,4->0
trace_00151,temporal_003,temporal_ordering,correct,0p2,middle_to_late,4,3,4->3
trace_00152,temporal_003,temporal_ordering,correct,0p2,early_to_middle,4,0,4->0
trace_00152,temporal_003,temporal_ordering,correct,0p2,middle_to_late,0,4,0->4
trace_00153,temporal_003,temporal_ordering,correct,0p2,early_to_middle,4,3,4->3
trace_00153,temporal_003,temporal_ordering,correct,0p2,middle_to_late,3,3,3->3
trace_00154,temporal_003,temporal_ordering,correct,0p2,early_to_middle,4,0,4->0
trace_00154,temporal_003,temporal_ordering,correct,0p2,middle_to_late,0,3,0->3
trace_00155,temporal_003,temporal_ordering,correct,0p2,middle_to_late,0,3,0->3
trace_00156,temporal_003,temporal_ordering,incorrect,0p5,early_to_middle,4,3,4->3
trace_00156,temporal_003,temporal_ordering,incorrect,0p5,middle_to_late,3,3,3->3
trace_00157,temporal_003,temporal_ordering,incorrect,0p5,early_to_middle,4,3,4->3
trace_00157,temporal_003,temporal_ordering,incorrect,0p5,middle_to_late,3,3,3->3
trace_00158,temporal_003,temporal_ordering,incorrect,0p5,early_to_middle,4,4,4->4
trace_00158,temporal_003,temporal_ordering,incorrect,0p5,middle_to_late,4,1,4->1
trace_00159,temporal_003,temporal_ordering,correct,0p5,middle_to_late,4,3,4->3
trace_00160,temporal_003,temporal_ordering,incorrect,0p5,early_to_middle,4,0,4->0
trace_00160,temporal_003,temporal_ordering,incorrect,0p5,middle_to_late,0,3,0->3
trace_00161,temporal_003,temporal_ordering,incorrect,0p8,early_to_middle,4,3,4->3
trace_00161,temporal_003,temporal_ordering,incorrect,0p8,middle_to_late,3,4,3->4
trace_00162,temporal_003,temporal_ordering,incorrect,0p8,early_to_middle,4,3,4->3
trace_00162,temporal_003,temporal_ordering,incorrect,0p8,middle_to_late,3,1,3->1
trace_00163,temporal_003,temporal_ordering,incorrect,0p8,middle_to_late,4,3,4->3
trace_00164,temporal_003,temporal_ordering,correct,0p8,early_to_middle,3,0,3->0
trace_00164,temporal_003,temporal_ordering,correct,0p8,middle_to_late,0,4,0->4
trace_00165,temporal_003,temporal_ordering,incorrect,0p8,early_to_middle,0,4,0->4
trace_00165,temporal_003,temporal_ordering,incorrect,0p8,middle_to_late,4,3,4->3
trace_00166,temporal_004,temporal_ordering,incorrect,0p2,middle_to_late,3,1,3->1
trace_00167,temporal_004,temporal_ordering,incorrect,0p2,middle_to_late,3,1,3->1
trace_00168,temporal_004,temporal_ordering,incorrect,0p2,middle_to_late,3,1,3->1
trace_00169,temporal_004,temporal_ordering,incorrect,0p2,middle_to_late,3,1,3->1
trace_00170,temporal_004,temporal_ordering,incorrect,0p2,middle_to_late,3,1,3->1
trace_00171,temporal_004,temporal_ordering,incorrect,0p5,middle_to_late,3,1,3->1
trace_00172,temporal_004,temporal_ordering,incorrect,0p5,middle_to_late,3,1,3->1
trace_00173,temporal_004,temporal_ordering,incorrect,0p5,middle_to_late,3,1,3->1
trace_00174,temporal_004,temporal_ordering,incorrect,0p5,middle_to_late,3,1,3->1
trace_00175,temporal_004,temporal_ordering,incorrect,0p5,middle_to_late,3,1,3->1
trace_00176,temporal_004,temporal_ordering,incorrect,0p8,middle_to_late,3,2,3->2
trace_00177,temporal_004,temporal_ordering,incorrect,0p8,middle_to_late,3,1,3->1
trace_00178,temporal_004,temporal_ordering,incorrect,0p8,middle_to_late,3,1,3->1
trace_00179,temporal_004,temporal_ordering,incorrect,0p8,middle_to_late,3,1,3->1
trace_00180,temporal_004,temporal_ordering,incorrect,0p8,middle_to_late,3,1,3->1
trace_00181,causal_001,causal_micro_world,incorrect,0p2,middle_to_late,1,4,1->4
trace_00182,causal_001,causal_micro_world,incorrect,0p2,middle_to_late,1,1,1->1
trace_00183,causal_001,causal_micro_world,incorrect,0p2,early_to_middle,1,1,1->1
trace_00183,causal_001,causal_micro_world,incorrect,0p2,middle_to_late,1,3,1->3
trace_00184,causal_001,causal_micro_world,incorrect,0p2,early_to_middle,0,3,0->3
trace_00184,causal_001,causal_micro_world,incorrect,0p2,middle_to_late,3,1,3->1
trace_00185,causal_001,causal_micro_world,incorrect,0p2,middle_to_late,1,4,1->4
trace_00186,causal_001,causal_micro_world,incorrect,0p5,middle_to_late,1,1,1->1
trace_00187,causal_001,causal_micro_world,incorrect,0p5,middle_to_late,1,1,1->1
trace_00188,causal_001,causal_micro_world,correct,0p5,early_to_middle,1,1,1->1
trace_00188,causal_001,causal_micro_world,correct,0p5,middle_to_late,1,4,1->4
trace_00189,causal_001,causal_micro_world,incorrect,0p5,middle_to_late,1,1,1->1
trace_00190,causal_001,causal_micro_world,correct,0p5,early_to_middle,1,1,1->1
trace_00190,causal_001,causal_micro_world,correct,0p5,middle_to_late,1,4,1->4
trace_00191,causal_001,causal_micro_world,incorrect,0p8,middle_to_late,1,1,1->1
trace_00192,causal_001,causal_micro_world,incorrect,0p8,middle_to_late,1,0,1->0
trace_00193,causal_001,causal_micro_world,incorrect,0p8,middle_to_late,1,1,1->1
trace_00195,causal_001,causal_micro_world,incorrect,0p8,middle_to_late,1,0,1->0
trace_00196,causal_002,causal_micro_world,incorrect,0p2,early_to_middle,2,4,2->4
trace_00196,causal_002,causal_micro_world,incorrect,0p2,middle_to_late,4,3,4->3
trace_00197,causal_002,causal_micro_world,correct,0p2,early_to_middle,2,4,2->4
trace_00197,causal_002,causal_micro_world,correct,0p2,middle_to_late,4,3,4->3
trace_00198,causal_002,causal_micro_world,incorrect,0p2,early_to_middle,3,4,3->4
trace_00198,causal_002,causal_micro_world,incorrect,0p2,middle_to_late,4,3,4->3
trace_00199,causal_002,causal_micro_world,correct,0p2,early_to_middle,2,4,2->4
trace_00199,causal_002,causal_micro_world,correct,0p2,middle_to_late,4,3,4->3
trace_00200,causal_002,causal_micro_world,correct,0p2,early_to_middle,2,4,2->4
trace_00200,causal_002,causal_micro_world,correct,0p2,middle_to_late,4,3,4->3
trace_00201,causal_002,causal_micro_world,incorrect,0p5,early_to_middle,3,4,3->4
trace_00201,causal_002,causal_micro_world,incorrect,0p5,middle_to_late,4,3,4->3
trace_00202,causal_002,causal_micro_world,correct,0p5,early_to_middle,2,4,2->4
trace_00202,causal_002,causal_micro_world,correct,0p5,middle_to_late,4,3,4->3
trace_00203,causal_002,causal_micro_world,incorrect,0p5,early_to_middle,2,4,2->4
trace_00203,causal_002,causal_micro_world,incorrect,0p5,middle_to_late,4,3,4->3
trace_00204,causal_002,causal_micro_world,correct,0p5,early_to_middle,2,4,2->4
trace_00204,causal_002,causal_micro_world,correct,0p5,middle_to_late,4,3,4->3
trace_00205,causal_002,causal_micro_world,incorrect,0p5,early_to_middle,2,4,2->4
trace_00205,causal_002,causal_micro_world,incorrect,0p5,middle_to_late,4,3,4->3
trace_00206,causal_002,causal_micro_world,correct,0p8,early_to_middle,2,4,2->4
trace_00206,causal_002,causal_micro_world,correct,0p8,middle_to_late,4,3,4->3
trace_00207,causal_002,causal_micro_world,incorrect,0p8,early_to_middle,2,4,2->4
trace_00207,causal_002,causal_micro_world,incorrect,0p8,middle_to_late,4,2,4->2
trace_00208,causal_002,causal_micro_world,correct,0p8,early_to_middle,2,4,2->4
trace_00208,causal_002,causal_micro_world,correct,0p8,middle_to_late,4,3,4->3
trace_00209,causal_002,causal_micro_world,correct,0p8,early_to_middle,2,4,2->4
trace_00209,causal_002,causal_micro_world,correct,0p8,middle_to_late,4,3,4->3
trace_00210,causal_002,causal_micro_world,incorrect,0p8,early_to_middle,2,4,2->4
trace_00210,causal_002,causal_micro_world,incorrect,0p8,middle_to_late,4,3,4->3
trace_00211,causal_003,causal_micro_world,incorrect,0p2,early_to_middle,1,3,1->3
trace_00211,causal_003,causal_micro_world,incorrect,0p2,middle_to_late,3,3,3->3
trace_00212,causal_003,causal_micro_world,correct,0p2,early_to_middle,1,3,1->3
trace_00212,causal_003,causal_micro_world,correct,0p2,middle_to_late,3,3,3->3
trace_00213,causal_003,causal_micro_world,correct,0p2,early_to_middle,1,3,1->3
trace_00213,causal_003,causal_micro_world,correct,0p2,middle_to_late,3,3,3->3
trace_00214,causal_003,causal_micro_world,correct,0p2,early_to_middle,1,3,1->3
trace_00214,causal_003,causal_micro_world,correct,0p2,middle_to_late,3,3,3->3
trace_00215,causal_003,causal_micro_world,correct,0p2,early_to_middle,1,3,1->3
trace_00215,causal_003,causal_micro_world,correct,0p2,middle_to_late,3,3,3->3
trace_00216,causal_003,causal_micro_world,incorrect,0p5,early_to_middle,1,3,1->3
trace_00216,causal_003,causal_micro_world,incorrect,0p5,middle_to_late,3,3,3->3
trace_00217,causal_003,causal_micro_world,correct,0p5,early_to_middle,1,3,1->3
trace_00217,causal_003,causal_micro_world,correct,0p5,middle_to_late,3,3,3->3
trace_00218,causal_003,causal_micro_world,incorrect,0p5,early_to_middle,1,3,1->3
