task_family,outcome,phase_path,count
commonsense_multihop,incorrect,3->1->3,2
commonsense_multihop,incorrect,3->4->3,2
commonsense_multihop,incorrect,1->0->3,1
commonsense_multihop,incorrect,1->1->0,1
commonsense_multihop,incorrect,1->1->3,1
commonsense_multihop,incorrect,1->3->0,1
commonsense_multihop,incorrect,3->0->0,1
commonsense_multihop,incorrect,3->1->4,1
commonsense_multihop,incorrect,4->0->3,1
commonsense_multihop,incorrect,4->0->4,1
commonsense_multihop,incorrect,4->1->1,1
commonsense_multihop,incorrect,4->1->3,1
commonsense_multihop,incorrect,4->1->4,1
commonsense_multihop,incorrect,4->3->0,1
commonsense_multihop,incorrect,4->3->4,1
symbolic_logic,correct,3->0->0,8
symbolic_logic,correct,NA->3->0,5
symbolic_logic,correct,3->0->3,4
symbolic_logic,correct,1->0->3,3
symbolic_logic,correct,1->3->1,2
symbolic_logic,correct,3->0->1,2
symbolic_logic,correct,NA->1->0,2
symbolic_logic,correct,NA->NA->0,2
symbolic_logic,correct,0->3->1,1
symbolic_logic,correct,3->3->3,1
symbolic_logic,correct,4->3->3,1
symbolic_logic,correct,NA->0->0,1
symbolic_logic,incorrect,NA->3->0,9
symbolic_logic,incorrect,3->0->3,5
symbolic_logic,incorrect,1->0->3,3
symbolic_logic,incorrect,3->0->1,2
symbolic_logic,incorrect,0->0->0,1
symbolic_logic,incorrect,1->0->0,1
symbolic_logic,incorrect,1->0->1,1
symbolic_logic,incorrect,1->3->1,1
symbolic_logic,incorrect,3->0->0,1
symbolic_logic,incorrect,3->1->0,1
symbolic_logic,incorrect,NA->0->0,1
symbolic_logic,incorrect,NA->0->3,1
symbolic_logic,incorrect,NA->1->3,1
temporal_ordering,correct,3->4->3,2
temporal_ordering,correct,3->4->4,2
temporal_ordering,correct,4->3->3,2
temporal_ordering,correct,4->4->3,2
temporal_ordering,correct,NA->4->0,2
temporal_ordering,correct,NA->4->3,2
temporal_ordering,correct,NA->4->4,2
temporal_ordering,correct,0->3->4,1
temporal_ordering,correct,1->4->1,1
temporal_ordering,correct,1->4->3,1
temporal_ordering,correct,1->4->4,1
temporal_ordering,correct,3->0->0,1
temporal_ordering,correct,3->0->4,1
temporal_ordering,correct,4->0->3,1
temporal_ordering,correct,4->0->4,1
temporal_ordering,correct,4->4->4,1
temporal_ordering,correct,NA->0->3,1
temporal_ordering,correct,NA->3->0,1
temporal_ordering,correct,NA->3->4,1
temporal_ordering,correct,NA->NA->0,1
temporal_ordering,correct,NA->NA->3,1
temporal_ordering,incorrect,NA->3->1,14
temporal_ordering,incorrect,4->0->3,2
temporal_ordering,incorrect,4->3->3,2
temporal_ordering,incorrect,0->4->3,1
temporal_ordering,incorrect,1->4->3,1
temporal_ordering,incorrect,3->1->4,1
temporal_ordering,incorrect,3->4->3,1
temporal_ordering,incorrect,4->0->0,1
temporal_ordering,incorrect,4->1->4,1
temporal_ordering,incorrect,4->3->1,1
temporal_ordering,incorrect,4->3->4,1
temporal_ordering,incorrect,4->4->1,1
temporal_ordering,incorrect,4->4->3,1
temporal_ordering,incorrect,4->4->4,1
temporal_ordering,incorrect,NA->3->2,1
temporal_ordering,incorrect,NA->4->3,1
temporal_ordering,incorrect,NA->4->4,1
