task_family,outcome,transition,transition_path,count
commonsense_multihop,incorrect,middle_to_late,1->1,1
symbolic_logic,correct,early_to_middle,3->0,14
symbolic_logic,correct,early_to_middle,1->0,3
symbolic_logic,correct,early_to_middle,1->3,2
symbolic_logic,correct,early_to_middle,0->3,1
symbolic_logic,correct,early_to_middle,3->3,1
symbolic_logic,correct,early_to_middle,4->3,1
symbolic_logic,correct,middle_to_late,0->0,9
symbolic_logic,correct,middle_to_late,0->3,7
symbolic_logic,correct,middle_to_late,3->0,5
symbolic_logic,correct,middle_to_late,3->1,3
symbolic_logic,correct,middle_to_late,0->1,2
symbolic_logic,correct,middle_to_late,1->0,2
symbolic_logic,correct,middle_to_late,3->3,2
symbolic_logic,incorrect,early_to_middle,3->0,8
symbolic_logic,incorrect,early_to_middle,1->0,5
symbolic_logic,incorrect,early_to_middle,0->0,1
symbolic_logic,incorrect,early_to_middle,1->3,1
symbolic_logic,incorrect,early_to_middle,3->1,1
symbolic_logic,incorrect,middle_to_late,0->3,9
symbolic_logic,incorrect,middle_to_late,3->0,9
symbolic_logic,incorrect,middle_to_late,0->0,4
symbolic_logic,incorrect,middle_to_late,0->1,3
symbolic_logic,incorrect,middle_to_late,1->0,1
symbolic_logic,incorrect,middle_to_late,1->3,1
symbolic_logic,incorrect,middle_to_late,3->1,1
temporal_ordering,correct,early_to_middle,3->4,4
temporal_ordering,correct,early_to_middle,1->4,3
temporal_ordering,correct,early_to_middle,4->4,3
temporal_ordering,correct,early_to_middle,3->0,2
temporal_ordering,correct,early_to_middle,4->0,2
temporal_ordering,correct,early_to_middle,4->3,2
temporal_ordering,correct,early_to_middle,0->3,1
temporal_ordering,correct,middle_to_late,4->3,7
temporal_ordering,correct,middle_to_late,4->4,6
temporal_ordering,correct,middle_to_late,0->3,2
temporal_ordering,correct,middle_to_late,0->4,2
temporal_ordering,correct,middle_to_late,3->3,2
temporal_ordering,correct,middle_to_late,3->4,2
temporal_ordering,correct,middle_to_late,4->0,2
temporal_ordering,correct,middle_to_late,0->0,1
temporal_ordering,correct,middle_to_late,3->0,1
temporal_ordering,correct,middle_to_late,4->1,1
temporal_ordering,incorrect,early_to_middle,4->3,4
temporal_ordering,incorrect,early_to_middle,4->0,3
temporal_ordering,incorrect,early_to_middle,4->4,3
temporal_ordering,incorrect,early_to_middle,0->4,1
temporal_ordering,incorrect,early_to_middle,1->4,1
temporal_ordering,incorrect,early_to_middle,3->1,1
temporal_ordering,incorrect,early_to_middle,3->4,1
temporal_ordering,incorrect,early_to_middle,4->1,1
temporal_ordering,incorrect,middle_to_late,3->1,15
temporal_ordering,incorrect,middle_to_late,4->3,5
temporal_ordering,incorrect,middle_to_late,0->3,2
temporal_ordering,incorrect,middle_to_late,1->4,2
temporal_ordering,incorrect,middle_to_late,3->3,2
temporal_ordering,incorrect,middle_to_late,4->4,2
temporal_ordering,incorrect,middle_to_late,0->0,1
temporal_ordering,incorrect,middle_to_late,3->2,1
temporal_ordering,incorrect,middle_to_late,3->4,1
temporal_ordering,incorrect,middle_to_late,4->1,1
