row_index,pair_id,base_id,topic,error_family,scope,neighbor_pool_size,same_family_neighbor_count,other_family_neighbor_count,source_anchor_norm,target_anchor_norm,steering_direction_norm,delta_norm_before,delta_norm_after,cosine_before_after,baseline_prediction,steered_prediction,prediction_changed,baseline_own_probability,steered_own_probability,own_probability_delta
20,b05_causal_substitution,b05,physics,causal_substitution,knn_local,15,9,6,0.122624970972538,0.1532130092382431,0.1959916651248932,0.3119766116142273,0.3551759123802185,0.9109214544296265,numeric_distortion,numeric_distortion,False,0.22537014522847343,0.15797386261902288,-0.06739628260945055
21,b05_definition_substitution,b05,physics,definition_substitution,knn_local,15,4,11,0.16055165231227875,0.11867456883192062,0.17411114275455475,0.2042396068572998,0.23629964888095856,0.8339868783950806,numeric_distortion,causal_substitution,True,0.2210674812359122,0.20283649830053319,-0.018230982935379003
22,b05_entity_swap,b05,physics,entity_swap,knn_local,15,9,6,0.21578390896320343,0.1508345752954483,0.2995932102203369,0.514161229133606,0.49976852536201477,0.902163028717041,entity_swap,entity_swap,False,0.38483480673688913,0.27061210032893174,-0.1142227064079574
23,b05_numeric_distortion,b05,physics,numeric_distortion,knn_local,15,1,14,0.32794567942619324,0.10734240710735321,0.3437557816505432,0.21431444585323334,0.3244955539703369,0.6093869805335999,numeric_distortion,role_inversion,True,0.21749798909664195,0.1508833848297096,-0.06661460426693236
24,b05_role_inversion,b05,physics,role_inversion,knn_local,15,7,8,0.22245143353939056,0.11656972020864487,0.28646373748779297,0.48320695757865906,0.49562710523605347,0.9039516448974609,role_inversion,causal_substitution,True,0.35656958848569226,0.14137859343269474,-0.21519099505299752
25,b06_causal_substitution,b06,literature,causal_substitution,knn_local,15,15,0,0.13165272772312164,0.021212439984083176,0.14915324747562408,0.5176212787628174,0.49837034940719604,0.976463794708252,causal_substitution,causal_substitution,False,0.4206023757612506,0.30324913835980044,-0.11735323740145015
26,b06_definition_substitution,b06,literature,definition_substitution,knn_local,15,1,14,0.27496761083602905,0.10022585839033127,0.29806506633758545,0.43724051117897034,0.46617892384529114,0.8794679045677185,definition_substitution,definition_substitution,False,0.301684128709329,0.26223809495148026,-0.03944603375784872
27,b06_entity_swap,b06,literature,entity_swap,knn_local,15,1,14,0.2758174240589142,0.11452607810497284,0.3053313195705414,0.384152889251709,0.428866982460022,0.8469172716140747,entity_swap,causal_substitution,True,0.23819866056410985,0.18874709239554743,-0.049451568168562415
28,b06_numeric_distortion,b06,literature,numeric_distortion,knn_local,15,1,14,0.31116968393325806,0.09216656535863876,0.32481735944747925,0.34777817130088806,0.40819528698921204,0.8038302659988403,numeric_distortion,causal_substitution,True,0.3054793812662457,0.19063091227611145,-0.11484846899013423
29,b06_role_inversion,b06,literature,role_inversion,knn_local,15,4,11,0.2694215178489685,0.10386266559362411,0.32791605591773987,0.45996901392936707,0.46701228618621826,0.8593289852142334,role_inversion,numeric_distortion,True,0.5063769557952461,0.22745157693743343,-0.27892537885781266
30,b07_causal_substitution,b07,earth_science,causal_substitution,knn_local,15,2,13,0.20302502810955048,0.10007818788290024,0.21260541677474976,0.2335406094789505,0.2724588215351105,0.8121098875999451,causal_substitution,entity_swap,True,0.25073656003985406,0.181719593972456,-0.06901696606739807
31,b07_definition_substitution,b07,earth_science,definition_substitution,knn_local,15,7,8,0.1374216377735138,0.1356818974018097,0.20215420424938202,0.3271982967853546,0.35279491543769836,0.9032689332962036,definition_substitution,role_inversion,True,0.2240112704908649,0.17399351403092994,-0.05001775645993495
32,b07_entity_swap,b07,earth_science,entity_swap,knn_local,15,13,2,0.1615159660577774,0.22139762341976166,0.270108163356781,0.5510199666023254,0.5773677229881287,0.9365928769111633,entity_swap,definition_substitution,True,0.2702527232631062,0.19596953431832428,-0.07428318894478189
33,b07_numeric_distortion,b07,earth_science,numeric_distortion,knn_local,15,14,1,0.13249342143535614,0.3643359839916229,0.35934963822364807,0.2683945298194885,0.3968450427055359,0.7364718317985535,numeric_distortion,role_inversion,True,0.2935215685133481,0.2743951350881218,-0.019126433425226297
34,b07_role_inversion,b07,earth_science,role_inversion,knn_local,15,6,9,0.2047858089208603,0.10666850209236145,0.2521405518054962,0.33918991684913635,0.3587973415851593,0.8546579480171204,role_inversion,definition_substitution,True,0.2821531670911353,0.1275100167413809,-0.1546431503497544
35,b08_causal_substitution,b08,public_health,causal_substitution,knn_local,15,4,11,0.1476161628961563,0.09617684036493301,0.1767544150352478,0.2587110698223114,0.27334684133529663,0.87726229429245,causal_substitution,numeric_distortion,True,0.2953834268011326,0.22838467631353013,-0.06699875048760248
36,b08_definition_substitution,b08,public_health,definition_substitution,knn_local,15,3,12,0.2151491940021515,0.10672561824321747,0.24287107586860657,0.33391129970550537,0.38611915707588196,0.8818960785865784,definition_substitution,entity_swap,True,0.23952744126440545,0.20160642130567952,-0.03792101995872593
37,b08_entity_swap,b08,public_health,entity_swap,knn_local,15,6,9,0.20128262042999268,0.10659466683864594,0.2308788299560547,0.5172196626663208,0.5286134481430054,0.9454037547111511,entity_swap,definition_substitution,True,0.31698162241350414,0.22760854589305382,-0.08937307652045032
38,b08_numeric_distortion,b08,public_health,numeric_distortion,knn_local,15,15,0,0.11803416162729263,0.024003006517887115,0.13748174905776978,0.34558138251304626,0.35202550888061523,0.9564730525016785,numeric_distortion,entity_swap,True,0.2429959431459577,0.16558197453451956,-0.07741396861143815
39,b08_role_inversion,b08,public_health,role_inversion,knn_local,15,9,6,0.18174664676189423,0.17378856241703033,0.2576353847980499,0.46106070280075073,0.4406949281692505,0.9091435670852661,role_inversion,role_inversion,False,0.45037280988406814,0.2502834817380221,-0.20008932814604602
40,b09_causal_substitution,b09,civics,causal_substitution,knn_local,15,9,6,0.11146716773509979,0.12194103747606277,0.1707281470298767,0.29334041476249695,0.29762277007102966,0.9062051773071289,causal_substitution,numeric_distortion,True,0.2844292628946924,0.21643254117223357,-0.06799672172245882
41,b09_definition_substitution,b09,civics,definition_substitution,knn_local,15,5,10,0.16022010147571564,0.10049343854188919,0.1909356415271759,0.3454606533050537,0.36138156056404114,0.9188851118087769,definition_substitution,numeric_distortion,True,0.2430689600815822,0.19778085447696633,-0.04528810560461588
42,b09_entity_swap,b09,civics,entity_swap,knn_local,15,1,14,0.3660101294517517,0.09179576486349106,0.37866780161857605,0.40807202458381653,0.4825425148010254,0.8092787265777588,entity_swap,causal_substitution,True,0.26988312856193225,0.20794307463234596,-0.06194005392958629
43,b09_numeric_distortion,b09,civics,numeric_distortion,knn_local,15,15,0,0.1223854124546051,0.024003006517887115,0.1414250135421753,0.3568897843360901,0.35800376534461975,0.9559774398803711,numeric_distortion,definition_substitution,True,0.28922464685351545,0.2019695532905986,-0.08725509356291686
44,b09_role_inversion,b09,civics,role_inversion,knn_local,15,5,10,0.19775541126728058,0.09016647934913635,0.23696991801261902,0.46206605434417725,0.4281531274318695,0.9230749011039734,role_inversion,role_inversion,False,0.6108240015638425,0.3894673716557104,-0.22135662990813215
45,b10_causal_substitution,b10,language,causal_substitution,knn_local,15,2,13,0.22779814898967743,0.13174578547477722,0.2754584550857544,0.32503029704093933,0.3629463016986847,0.8251932263374329,causal_substitution,role_inversion,True,0.2596927060907901,0.1596901784466447,-0.10000252764414538
46,b10_definition_substitution,b10,language,definition_substitution,knn_local,15,5,10,0.15422245860099792,0.12953826785087585,0.2253434956073761,0.2859106659889221,0.33846375346183777,0.866685688495636,definition_substitution,role_inversion,True,0.22247752836486037,0.17163442877255833,-0.05084309959230204
47,b10_entity_swap,b10,language,entity_swap,knn_local,15,11,4,0.15248875319957733,0.19917753338813782,0.25881558656692505,0.5530566573143005,0.6001458764076233,0.9465798139572144,entity_swap,role_inversion,True,0.2291753848903343,0.1509990110499676,-0.07817637384036669
48,b10_numeric_distortion,b10,language,numeric_distortion,knn_local,15,6,9,0.14000289142131805,0.10869002342224121,0.179792121052742,0.24243640899658203,0.23121538758277893,0.8389348983764648,numeric_distortion,causal_substitution,True,0.2958352048811973,0.19783227893971428,-0.09800292594148302
49,b10_role_inversion,b10,language,role_inversion,knn_local,15,5,10,0.215936541557312,0.10916106402873993,0.26581868529319763,0.3744300901889801,0.4172890782356262,0.8786875009536743,role_inversion,causal_substitution,True,0.27973247785928496,0.12469280461718112,-0.15503967324210383
50,b11_causal_substitution,b11,mathematics,causal_substitution,knn_local,15,8,7,0.121583491563797,0.12396559119224548,0.17729702591896057,0.3779933452606201,0.3898615539073944,0.9404847621917725,causal_substitution,numeric_distortion,True,0.31087495102746693,0.2227953314408029,-0.08807961958666402
51,b11_definition_substitution,b11,mathematics,definition_substitution,knn_local,15,2,13,0.2474278211593628,0.09464147686958313,0.26277396082878113,0.4420521557331085,0.48857736587524414,0.9150925278663635,definition_substitution,numeric_distortion,True,0.28382372428498226,0.26459345084355984,-0.01923027344142242
52,b11_entity_swap,b11,mathematics,entity_swap,knn_local,15,11,4,0.19612102210521698,0.1880555897951126,0.3021182417869568,0.6284839510917664,0.6763238906860352,0.942297637462616,entity_swap,numeric_distortion,True,0.24725224346693747,0.15839638243834553,-0.08885586102859194
53,b11_numeric_distortion,b11,mathematics,numeric_distortion,knn_local,15,5,10,0.15164640545845032,0.1067032739520073,0.17136164009571075,0.30363744497299194,0.33005499839782715,0.9210721850395203,numeric_distortion,definition_substitution,True,0.24954134779797374,0.18814511975490178,-0.06139622804307196
54,b11_role_inversion,b11,mathematics,role_inversion,knn_local,15,1,14,0.45996901392936707,0.09609196335077286,0.48349612951278687,0.5199466347694397,0.522869884967804,0.758176863193512,role_inversion,role_inversion,False,0.6074878785903375,0.2782817561409062,-0.32920612244943126
55,b12_causal_substitution,b12,music,causal_substitution,knn_local,15,3,12,0.18084804713726044,0.09478709846735,0.211965873837471,0.2907979190349579,0.3136628568172455,0.8643274903297424,causal_substitution,numeric_distortion,True,0.279286345612634,0.1947533098096137,-0.0845330358030203
56,b12_definition_substitution,b12,music,definition_substitution,knn_local,15,9,6,0.12203963845968246,0.1735098659992218,0.2078132927417755,0.44862818717956543,0.48724618554115295,0.9478459358215332,definition_substitution,entity_swap,True,0.27708524904774273,0.23873529932011006,-0.03834994972763267
57,b12_entity_swap,b12,music,entity_swap,knn_local,15,12,3,0.16669006645679474,0.23283962905406952,0.2861315608024597,0.4829871952533722,0.5296590328216553,0.9142472743988037,entity_swap,causal_substitution,True,0.2561445762919543,0.17305692955538507,-0.08308764673656924
58,b12_numeric_distortion,b12,music,numeric_distortion,knn_local,15,8,7,0.12229499220848083,0.11585087329149246,0.1725696325302124,0.28225696086883545,0.3220016658306122,0.9165351986885071,definition_substitution,role_inversion,True,0.208800970324402,0.14870787945952968,-0.06009309086487233
59,b12_role_inversion,b12,music,role_inversion,knn_local,15,12,3,0.18363969027996063,0.21579328179359436,0.2822989821434021,0.3363722264766693,0.3672909140586853,0.8224507570266724,role_inversion,role_inversion,False,0.3980039976676675,0.21245270621402498,-0.1855512914536425
60,b13_causal_substitution,b13,computer_science,causal_substitution,knn_local,15,13,2,0.13776123523712158,0.2883286476135254,0.34291476011276245,0.35900619626045227,0.42092373967170715,0.793828547000885,causal_substitution,definition_substitution,True,0.3108715270230918,0.17850989820015623,-0.13236162882293556
61,b13_definition_substitution,b13,computer_science,definition_substitution,knn_local,15,8,7,0.12518902122974396,0.12071170657873154,0.18117165565490723,0.26108700037002563,0.2936238944530487,0.8864852786064148,definition_substitution,role_inversion,True,0.22854943989987248,0.18676949722688482,-0.04177994267298765
62,b13_entity_swap,b13,computer_science,entity_swap,knn_local,15,7,8,0.17300812900066376,0.1426715850830078,0.23613880574703217,0.5827413201332092,0.5952911972999573,0.9550183415412903,entity_swap,role_inversion,True,0.33708241695346464,0.23672645733502395,-0.10035595961844068
63,b13_numeric_distortion,b13,computer_science,numeric_distortion,knn_local,15,6,9,0.1483089029788971,0.10499811917543411,0.15573452413082123,0.24748548865318298,0.2676347494125366,0.900080680847168,numeric_distortion,definition_substitution,True,0.256649878673233,0.200186929510467,-0.056462949162766035
64,b13_role_inversion,b13,computer_science,role_inversion,knn_local,15,7,8,0.18403445184230804,0.13493995368480682,0.24553395807743073,0.23845723271369934,0.26519739627838135,0.7375293970108032,role_inversion,numeric_distortion,True,0.2896365979628148,0.14200354555269346,-0.14763305241012137
65,b14_causal_substitution,b14,economics,causal_substitution,knn_local,15,5,10,0.155300572514534,0.10706166923046112,0.2208947390317917,0.371257483959198,0.3683023750782013,0.8996666669845581,causal_substitution,numeric_distortion,True,0.28299833969923555,0.20599272472978772,-0.07700561496944783
66,b14_definition_substitution,b14,economics,definition_substitution,knn_local,15,2,13,0.24513991177082062,0.10346104204654694,0.28395819664001465,0.2904457151889801,0.35017645359039307,0.7945677638053894,definition_substitution,role_inversion,True,0.2289100862159584,0.16358884127814838,-0.06532124493781002
67,b14_entity_swap,b14,economics,entity_swap,knn_local,15,7,8,0.18004460632801056,0.11829917132854462,0.2149837166070938,0.5136298537254333,0.5420061945915222,0.9547535181045532,entity_swap,entity_swap,False,0.3134974159412046,0.2563663008975112,-0.05713111504369339
68,b14_numeric_distortion,b14,economics,numeric_distortion,knn_local,15,5,10,0.18240797519683838,0.12396278232336044,0.23921503126621246,0.27093666791915894,0.32339009642601013,0.8320154547691345,numeric_distortion,role_inversion,True,0.23632969315847477,0.13208016395919964,-0.10424952919927513
69,b14_role_inversion,b14,economics,role_inversion,knn_local,15,12,3,0.211171954870224,0.17115215957164764,0.32101163268089294,0.6804212331771851,0.65479576587677,0.9356865882873535,role_inversion,causal_substitution,True,0.4504528107135181,0.18759770016147315,-0.26285511055204497
70,b15_causal_substitution,b15,sports,causal_substitution,knn_local,15,7,8,0.12247166782617569,0.1133461743593216,0.17555448412895203,0.2658627927303314,0.2835003733634949,0.8870617151260376,causal_substitution,numeric_distortion,True,0.2715518251573175,0.19239809611691816,-0.07915372904039936
71,b15_definition_substitution,b15,sports,definition_substitution,knn_local,15,6,9,0.13752080500125885,0.12397339940071106,0.18423134088516235,0.4034796953201294,0.42969563603401184,0.9469220638275146,definition_substitution,causal_substitution,True,0.2545986466017156,0.2126956485835469,-0.04190299801816871
72,b15_entity_swap,b15,sports,entity_swap,knn_local,15,8,7,0.17230165004730225,0.14952190220355988,0.24083539843559265,0.4073501229286194,0.46251752972602844,0.9214928150177002,entity_swap,role_inversion,True,0.250682755236801,0.1886007937860236,-0.062081961450777406
73,b15_numeric_distortion,b15,sports,numeric_distortion,knn_local,15,2,13,0.18993490934371948,0.09149638563394547,0.2043309509754181,0.24613960087299347,0.29331207275390625,0.8527629375457764,numeric_distortion,causal_substitution,True,0.2405222049024405,0.19444393194375717,-0.04607827295868333
74,b15_role_inversion,b15,sports,role_inversion,knn_local,15,8,7,0.1725856065750122,0.14040018618106842,0.2432929426431656,0.4143214523792267,0.3971761167049408,0.899728000164032,role_inversion,role_inversion,False,0.41841351919932174,0.2255243621886339,-0.19288915701068785
75,b16_causal_substitution,b16,medicine,causal_substitution,knn_local,15,1,14,0.2335406094789505,0.08970078080892563,0.2536393105983734,0.2504819333553314,0.3099169433116913,0.7896732687950134,causal_substitution,numeric_distortion,True,0.2884715993892275,0.23861681891709435,-0.04985478047213315
76,b16_definition_substitution,b16,medicine,definition_substitution,knn_local,15,1,14,0.270734578371048,0.11249182373285294,0.29600924253463745,0.33141782879829407,0.3980485796928406,0.8300208449363708,causal_substitution,causal_substitution,False,0.22007219288083615,0.19255874411406737,-0.027513448766768783
77,b16_entity_swap,b16,medicine,entity_swap,knn_local,15,9,6,0.19249312579631805,0.12684416770935059,0.23452456295490265,0.5653986930847168,0.587070643901825,0.954103410243988,entity_swap,definition_substitution,True,0.2743614239719695,0.18991106776581088,-0.08445035620615862
78,b16_numeric_distortion,b16,medicine,numeric_distortion,knn_local,15,15,0,0.12051064521074295,0.024003006517887115,0.14021454751491547,0.3468203544616699,0.3343140184879303,0.9529853463172913,numeric_distortion,causal_substitution,True,0.290571547015909,0.20131595148103812,-0.08925559553487086
79,b16_role_inversion,b16,medicine,role_inversion,knn_local,15,11,4,0.18191707134246826,0.1893579661846161,0.2626943588256836,0.43508803844451904,0.4373113811016083,0.8980070352554321,role_inversion,role_inversion,False,0.4387327327988679,0.24387453094541298,-0.1948582018534549
80,b17_causal_substitution,b17,law,causal_substitution,knn_local,15,0,15,0.0848497599363327,0.08374645560979843,0.1293450891971588,0.2767263948917389,0.2825416326522827,0.940035343170166,causal_substitution,definition_substitution,True,0.2621965329061584,0.19383835209663325,-0.06835818080952516
81,b17_definition_substitution,b17,law,definition_substitution,knn_local,15,4,11,0.15540702641010284,0.08964966982603073,0.17833863198757172,0.25902506709098816,0.2883114516735077,0.8859637379646301,definition_substitution,numeric_distortion,True,0.23765585000763667,0.19461208642025973,-0.04304376358737694
82,b17_entity_swap,b17,law,entity_swap,knn_local,15,10,5,0.15837015211582184,0.14478890597820282,0.2176142781972885,0.5889606475830078,0.6010279059410095,0.9625797271728516,entity_swap,entity_swap,False,0.34435145278528795,0.25230439692556367,-0.09204705585972428
83,b17_numeric_distortion,b17,law,numeric_distortion,knn_local,15,14,1,0.11961567401885986,0.3643359839916229,0.3471948802471161,0.2776176631450653,0.33701443672180176,0.6564911007881165,numeric_distortion,numeric_distortion,False,0.32077951203489763,0.327880737388541,0.007101225353643381
84,b17_role_inversion,b17,law,role_inversion,knn_local,15,7,8,0.20847859978675842,0.11711499094963074,0.2877398431301117,0.48318716883659363,0.4870092570781708,0.9010756015777588,role_inversion,causal_substitution,True,0.4272264424943643,0.19212784273097255,-0.23509859976339176
85,b18_causal_substitution,b18,meteorology,causal_substitution,knn_local,15,7,8,0.12131314724683762,0.11297815293073654,0.17385153472423553,0.2646007239818573,0.28364598751068115,0.8891549706459045,causal_substitution,numeric_distortion,True,0.2577632614506242,0.18771582948149906,-0.07004743196912516
86,b18_definition_substitution,b18,meteorology,definition_substitution,knn_local,15,7,8,0.15093666315078735,0.1295938640832901,0.21241740882396698,0.321492463350296,0.35511234402656555,0.8937932848930359,definition_substitution,role_inversion,True,0.24019595223710993,0.1908253378239196,-0.04937061441319032
87,b18_entity_swap,b18,meteorology,entity_swap,knn_local,15,4,11,0.2209770828485489,0.14579519629478455,0.28520625829696655,0.43244507908821106,0.4755173325538635,0.8932574987411499,entity_swap,role_inversion,True,0.25195377178677136,0.18130053493876025,-0.07065323684801111
88,b18_numeric_distortion,b18,meteorology,numeric_distortion,knn_local,15,5,10,0.14107626676559448,0.1008647233247757,0.17904241383075714,0.2740132808685303,0.27811866998672485,0.8818055391311646,numeric_distortion,causal_substitution,True,0.30800444983930364,0.213166741002025,-0.09483770883727863
89,b18_role_inversion,b18,meteorology,role_inversion,knn_local,15,8,7,0.19535306096076965,0.13943682610988617,0.2419724315404892,0.42453423142433167,0.40839847922325134,0.9057719111442566,role_inversion,role_inversion,False,0.48402405292472295,0.2740395205023681,-0.20998453242235487
90,b19_causal_substitution,b19,education,causal_substitution,knn_local,15,14,1,0.144332617521286,0.384152889251709,0.4263230562210083,0.4224158525466919,0.5346913933753967,0.8015840649604797,causal_substitution,definition_substitution,True,0.28427196399091215,0.1866459833771856,-0.09762598061372654
91,b19_definition_substitution,b19,education,definition_substitution,knn_local,15,9,6,0.1337350308895111,0.1735098659992218,0.19748464226722717,0.4391047954559326,0.46582546830177307,0.9481201767921448,definition_substitution,definition_substitution,False,0.27124711731103696,0.2316189175252919,-0.039628199785745055
92,b19_entity_swap,b19,education,entity_swap,knn_local,15,10,5,0.17401205003261566,0.15962035953998566,0.2393244504928589,0.6733385324478149,0.6759933829307556,0.9646169543266296,entity_swap,entity_swap,False,0.33702524895817637,0.24265684401699023,-0.09436840494118615
93,b19_numeric_distortion,b19,education,numeric_distortion,knn_local,15,14,1,0.11399903893470764,0.3643359839916229,0.3802937865257263,0.33761677145957947,0.46884092688560486,0.7974241375923157,numeric_distortion,numeric_distortion,False,0.40827350000507073,0.41690649079050457,0.008632990785433836
94,b19_role_inversion,b19,education,role_inversion,knn_local,15,7,8,0.1980506330728531,0.1249309629201889,0.24713201820850372,0.27746134996414185,0.3021826446056366,0.7987744212150574,role_inversion,definition_substitution,True,0.3240123681451686,0.14543208000511987,-0.17858028814004873
95,b20_causal_substitution,b20,transport,causal_substitution,knn_local,15,1,14,0.2588353455066681,0.14183051884174347,0.3057003915309906,0.3488827049732208,0.418549120426178,0.8366241455078125,causal_substitution,role_inversion,True,0.25296397652487324,0.20432603203180666,-0.048637944493066576
96,b20_definition_substitution,b20,transport,definition_substitution,knn_local,15,1,14,0.4420521557331085,0.12812289595603943,0.4447343051433563,0.42341646552085876,0.5410593152046204,0.7873873710632324,causal_substitution,causal_substitution,False,0.21266272078421397,0.16612373965326446,-0.04653898113094951
97,b20_entity_swap,b20,transport,entity_swap,knn_local,15,11,4,0.20845481753349304,0.1880555897951126,0.3337968587875366,0.6760343909263611,0.6807773113250732,0.9319345355033875,entity_swap,definition_substitution,True,0.29798998041446384,0.1964555478123677,-0.10153443260209613
98,b20_numeric_distortion,b20,transport,numeric_distortion,knn_local,15,2,13,0.20168182253837585,0.10496813803911209,0.22012072801589966,0.32794567942619324,0.3439842760562897,0.8803382515907288,numeric_distortion,definition_substitution,True,0.2899699856812933,0.21312654926150312,-0.07684343641979016
99,b20_role_inversion,b20,transport,role_inversion,knn_local,15,8,7,0.22364328801631927,0.11953029781579971,0.29930204153060913,0.45127061009407043,0.4968603849411011,0.8922673463821411,role_inversion,numeric_distortion,True,0.2724405358874248,0.09224954658835241,-0.18019098929907237
100,b21_causal_substitution,b21,botany,causal_substitution,knn_local,15,8,7,0.11763940751552582,0.12136781215667725,0.18463879823684692,0.2948561906814575,0.32429787516593933,0.9042595624923706,causal_substitution,role_inversion,True,0.27948265017080254,0.1986831892221976,-0.08079946094860493
101,b21_definition_substitution,b21,botany,definition_substitution,knn_local,15,4,11,0.1428791582584381,0.09509346634149551,0.17957814037799835,0.2028222382068634,0.2204865664243698,0.8006728291511536,definition_substitution,definition_substitution,False,0.2503681369996995,0.21427283228963412,-0.03609530471006539
