trace_id,prompt_id,task_family,outcome,n_deltas,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4
trace_00054,causal_011,causal_micro_world,incorrect,3,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
trace_00055,commonsense_011,commonsense_multihop,correct,7,0.2857142857142857,0.0,0.0,0.5714285714285714,0.14285714285714285
trace_00056,arith_012,arithmetic,correct,2,0.0,0.0,0.0,0.5,0.5
trace_00057,logic_012,symbolic_logic,correct,1,0.0,0.0,1.0,0.0,0.0
trace_00058,temporal_012,temporal_ordering,incorrect,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
trace_00059,causal_012,causal_micro_world,correct,2,0.0,0.0,0.0,0.5,0.5
trace_00060,commonsense_012,commonsense_multihop,incorrect,3,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0
trace_00061,arith_013,arithmetic,correct,6,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333
trace_00062,logic_013,symbolic_logic,correct,5,0.0,0.4,0.0,0.2,0.4
trace_00063,temporal_013,temporal_ordering,incorrect,2,0.0,0.5,0.0,0.5,0.0
trace_00064,causal_013,causal_micro_world,incorrect,3,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0
trace_00065,commonsense_013,commonsense_multihop,incorrect,4,0.25,0.25,0.25,0.25,0.0
trace_00066,arith_014,arithmetic,correct,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
trace_00067,logic_014,symbolic_logic,incorrect,3,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
trace_00068,temporal_014,temporal_ordering,incorrect,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
trace_00069,causal_014,causal_micro_world,correct,2,0.0,0.5,0.0,0.5,0.0
trace_00070,commonsense_014,commonsense_multihop,correct,6,0.3333333333333333,0.0,0.16666666666666666,0.5,0.0
trace_00071,arith_015,arithmetic,correct,2,0.0,0.0,0.0,0.5,0.5
trace_00072,logic_015,symbolic_logic,incorrect,6,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0
trace_00073,temporal_015,temporal_ordering,incorrect,5,0.4,0.2,0.2,0.2,0.0
trace_00074,causal_015,causal_micro_world,correct,2,1.0,0.0,0.0,0.0,0.0
trace_00075,commonsense_015,commonsense_multihop,correct,4,0.0,0.5,0.25,0.25,0.0
trace_00076,arith_016,arithmetic,correct,7,0.14285714285714285,0.0,0.42857142857142855,0.2857142857142857,0.14285714285714285
trace_00077,logic_016,symbolic_logic,correct,3,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
trace_00078,temporal_016,temporal_ordering,incorrect,4,0.25,0.25,0.25,0.25,0.0
trace_00079,causal_016,causal_micro_world,incorrect,2,0.0,0.5,0.0,0.5,0.0
trace_00080,commonsense_016,commonsense_multihop,correct,4,0.5,0.0,0.0,0.5,0.0
trace_00081,arith_017,arithmetic,correct,4,0.0,0.25,0.25,0.25,0.25
trace_00082,logic_017,symbolic_logic,incorrect,2,0.5,0.0,0.5,0.0,0.0
trace_00083,temporal_017,temporal_ordering,incorrect,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
trace_00084,causal_017,causal_micro_world,correct,2,0.5,0.0,0.0,0.5,0.0
trace_00085,commonsense_017,commonsense_multihop,incorrect,3,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
trace_00086,arith_018,arithmetic,correct,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
trace_00087,logic_018,symbolic_logic,correct,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
trace_00088,temporal_018,temporal_ordering,incorrect,2,0.0,0.5,0.0,0.5,0.0
trace_00089,causal_018,causal_micro_world,correct,4,0.25,0.25,0.25,0.0,0.25
trace_00090,commonsense_018,commonsense_multihop,incorrect,4,0.25,0.0,0.25,0.5,0.0
trace_00091,arith_019,arithmetic,correct,8,0.0,0.25,0.25,0.25,0.25
trace_00092,logic_019,symbolic_logic,correct,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.0
trace_00093,temporal_019,temporal_ordering,incorrect,3,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
trace_00094,causal_019,causal_micro_world,correct,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
trace_00095,commonsense_019,commonsense_multihop,correct,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
trace_00096,arith_020,arithmetic,correct,8,0.25,0.0,0.25,0.25,0.25
trace_00097,logic_020,symbolic_logic,incorrect,2,0.5,0.5,0.0,0.0,0.0
trace_00098,temporal_020,temporal_ordering,incorrect,3,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
trace_00099,causal_020,causal_micro_world,correct,2,0.5,0.0,0.0,0.5,0.0
trace_00100,commonsense_020,commonsense_multihop,correct,5,0.2,0.2,0.4,0.2,0.0
